Apple	Quả táo
Ubiquitous	Mọi nơi
Voracious	Tham lam
Whimsical	Kỳ quái
Xenophobia	Sự ghét người nước ngoài
Yawn	Ngáp
Zest	Hương vị, sự hứng thú
Abandon	Từ bỏ
Abate	Giảm bớt
Aberration	Sự lệch hướng
Abhor	Ghét cay ghét đắng
Abject	Thảm hại
Abolish	Bãi bỏ
Abound	Phong phú
Abrasive	Chà xát
Absolve	Tỏ ra vô tội
Abstain	Từ chối
Accolade	Khen ngợi
Accost	Chào hỏi
Accrue	Tích luỹ
Acrimonious	Chua cay
Adamant	Kiên định
Adept	Thạo
Admonish	Mắng mỏ
Adorn	Trang hoàng
Adulation	Sự tán tỉnh
Aesthetic	Mỹ thuật
Affable	Dễ gần gũi
Affliction	Sự đau khổ
Agile	Nhanh nhẹn
Alacrity	Sự nhanh nhẹn
Alleviate	Làm dịu bớt
Allure	Quyến rũ
Altruistic	Hướng ngoại
Amass	Tích luỹ
Ambiguous	Mơ hồ
Ambivalence	Mâu thuẫn tâm lý
Ameliorate	Cải thiện
Amiable	Đáng yêu
Amicable	Hòa thuận
Ample	Rộng rãi
Analogous	Tương tự
Anarchy	Hỗn loạn
Anecdote	Chuyện kể
Animosity	Thù địch
Annihilate	Tiêu diệt
Anomaly	Không bình thường
Antipathy	Ghét
Apathy	Lãnh đạm
Aplomb	Sự tự tin
Apprehensive	Lo sợ
Arbitrary	Tùy ý
Arcane	Bí ẩn
Archetype	Nguyên mẫu
Articulate	Linh hoạt trong việc diễn đạt
Asinine	Ngớ ngẩn
Assuage	Dịu đi
Austere	Khắc nghiệt
Avarice	Tham lam
Aversion	Sự ghét
Baleful	Báo điềm xấu
Banish	Đuổi đi
Benevolent	Nhân từ
Bereft	Mất mát
Blatant	Rõ ràng
Bolster	Hỗ trợ
Brevity	Sự ngắn gọn
Bucolic	Nông thôn
Cacophony	Tiếng ồn
Cajole	Ngọt ngào lừa
Candor	Thành thực
Capricious	Thất thường
Carping	Hay phê phán
Catalyst	Chất xúc tác
Caustic	Cay nghiệt
Censure	Lên án
Chagrin	Thất vọng
Charlatan	Người lừa đảo
Chide	Mắng mỏ
Choleric	Dễ cáu giận
Churlish	Thô lỗ
Circumspect	Thận trọng
Clandestine	Bí mật
Clairvoyant	Thấy trước
Clemency	Lòng nhân từ
Coalesce	Hợp nhất
Cognizant	Nhận thức được
Collusion	Âm mưu
Complacent	Tự mãn
Concede	Công nhận
Conciliatory	Hòa giải
Condescending	Coi thường
Condone	Bỏ qua
Confidant	Người tâm tình
Confluence	Sự hợp nhất
Conjecture	Sự phỏng đoán
Conspicuous	Nổi bật
Consummate	Hoàn hảo
Contentious	Hay cãi vã
Contrite	Ân hận
Conundrum	Vấn đề khó giải
Copious	Dồi dào
Corpulent	Mập mạp
Covet	Có tham vọng
Cower	Co rúm lại
Credence	Sự tin tưởng
Credulous	Dễ tin
Curtail	Cắt giảm
Cynical	Chua chát
Dearth	Sự thiếu hụt
Debilitate	Làm yếu đi
Debunk	Bác bỏ
Decipher	Giải mã
Decorum	Phép lịch sự
Deference	Sự kính trọng
Delineate	Mô tả
Demure	Nhút nhát
Denounce	Lên án
Deride	Chế nhạo
Derogatory	Mỉa mai
Despondent	Buồn rầu
Detrimental	Gây hại
Deviate	Lạc hướng
Dexterous	Khéo léo
Diatribe	Chửi rủa
Didactic	Mang tính giáo dục
Diffident	Thụ động
Dilettante	Một người am hiểu nông cạn
Disparate	Khác biệt
Dispel	Xua tan
Disrepute	Sự tiêu tan danh tiếng
Dissipate	Tiêu tan
Divulge	Tiết lộ
Docile	Ngoan ngoãn
Dogmatic	Độc đoán
Dubious	Nghi ngờ
Duplicity	Sự lừa dối
Ebullient	Hớn hở
Eclectic	Sự hòa hợp
Edify	Giáo dục
Efficacious	Hiệu quả
Egregious	Nghiêm trọng
Eloquent	Hùng biện
Elusive	Khó nắm bắt
Emaciated	Suy nhược
Eminent	Xuất sắc
Empathy	Sự đồng cảm
Enervate	Làm yếu đi
Engender	Gây ra
Enhance	Nâng cao
Enigma	Bí ẩn
Enrapture	Làm mê mẩn
Enthrall	Mê hoặc
Ephemeral	Ngắn ngủi
Epiphany	Sự hiểu rõ bất ngờ
Equanimity	Sự điềm tĩnh
Erratic	Không ổn định
Ethereal	Tinh khiết
Euphoric	Hạnh phúc
Evanescent	Sự tiêu tan
Exacerbate	Làm trầm trọng thêm
Exculpate	Tha thứ
Exemplary	Gương mẫu
Exonerate	Xóa tội
Exorbitant	Cắt cổ
Expedient	Thích hợp
Exquisite	Tuyệt vời
Extol	Khen ngợi
Exuberant	Hừng hực
Facetious	Tinh nghịch
Facilitate	Làm cho dễ dàng
Fathom	Hiểu rõ
Feasible	Khả thi
Fervent	Nồng nhiệt
Fiasco	Thất bại
Flabbergasted	Ngạc nhiên đến mức không biết nói gì
Flagrant	Thái quá
Flippant	Nói bất kính
Furtive	Lén lút
Garrulous	Nói nhiều
Genial	Nhã nhặn
Gesticulate	Gắt tay
Glib	Nhanh nhẹn
Gregarious	Hòa đồng
Grotesque	Quái dị
Guile	Sự gian trá
Harangue	Diễn thuyết kháng chiến
Haughty	Ngạo mạn
Hedonist	Người theo đuổi niềm vui
Heedless	Không để ý
Heinous	Tàn ác
Heretic	Người dị đoan
Histrionic	Dở hơi
Idyllic	Lý tưởng
Imminent	Sắp xảy ra
Immutable	Bất biến
Impartial	Công bằng
Implacable	Không thể làm lành
Implicit	Ngụ ý
Implore	Cầu xin
Inane	Vô nghĩa
Incisive	Sắc bén
Inclement	Thời tiết khắc nghiệt
Ineffable	Không thể diễn đạt
Inexorable	Không thể ngăn cản
Infamous	Tai tiếng
Innocuous	Vô hại
Insidious	Lén lút
Insipid	Nhạt nhẽo
Insolent	Hỗn xược
Insurgent	Nổi loạn
Intrepid	Dũng cảm
Inundate	Tràn ngập
Inure	Làm quen với
Irreverent	Không tôn trọng
Jocular	Hài hước
Jubilant	Hân hoan
Juxtapose	So sánh
Kaleidoscope	Kính vạn hoa
Laconic	Ngắn gọn
Lament	Than thở
Languid	Mệt mỏi
Lethargic	Uể oải
Loquacious	Nói nhiều
Lucid	Rõ ràng
Machiavellian	Kế sách
Magnanimous	Nhân hậu
Malevolent	Xấu xa
Malleable	Dễ uốn nắn
Maudlin	Rưng rưng
Meticulous	Cẩn thận
Misanthrope	Người ghét loài người
Mollify	Làm dịu đi
Monotonous	Nhàm chán
Mundane	Hằn ngày
Nebulous	Mơ hồ
Nefarious	Ác độc
Nemesis	Kẻ trả thù
Nonchalant	Hờ hững
Nostalgia	Hoài niệm
Notorious	Nổi tiếng
Novice	Người mới
Nuance	Sắc thái
Obdurate	Cứng đầu
Obfuscate	Làm mờ đi
Obliterate	Tiêu diệt
Oblivious	Lãng quên
Ominous	Có điềm báo xấu
Onerous	Nặng nề
Ostentatious	Phô trương
Pacify	Làm yên lòng
Palliate	Làm nhẹ bớt
Pariah	Người bị tẩy chay
Peculiar	Kỳ lạ
Pedantic	Kiểu học đòi
Penchant	Sở thích
Pernicious	Độc hại
Pertinent	Liên quan
Pervasive	Lan tràn
Petulant	Nóng nảy
Placate	Làm yên lòng
Plethora	Nhiều
Plummet	Rơi thảm
Ponder	Ngẫm nghĩ
Ponderous	Nặng nề
Pretentious	Phô trương
Prudent	Thận trọng
Pugnacious	Đáng gặp mặt
Pulchritudinous	Xinh đẹp
Quell	Dẹp tan
Quixotic	Hão huyền
Rancor	Thù hằn
Rebuke	Mắng mỏ
Recluse	Người sống cô lập
Relegate	Đuổi ra khỏi
Reproach	Chỉ trích
Resilient	Bền bỉ
Resplendent	Rực rỡ
Reticent	Tự kiềm chế
Revere	Tôn kính
Rogue	Kẻ gian
Sage	Nhà thông thái
Salient	Nổi bật
Sanguine	Lạc quan
Sardonic	Cay độc
Savvy	Thạo việc
Scrupulous	Cẩn thận
Scurrilous	Lời lẽ bậy bạ
Serendipity	Tình cờ tốt lành
Serene	Bình yên
Serpentine	Uốn lưỡi
Sycophant	Kẻ nịnh hót
Tactile	Thích tiếp xúc
Tantamount	Tương đương
Tawdry	Rẻ rách
Tenuous	Mong manh
Trepidation	Sự run sợ
Ubiquitous	Mọi nơi
Unctuous	Dưới một cách giả dối
Vacuous	Trống rỗng
Vehement	Mạnh mẽ
Venerate	Tôn trọng
Verbose	Nói nhiều
Vex	Làm phật ô
Vicarious	Thuộc về người khác
Voracious	Tham lam
Wary	Cảnh giác
Wistful	Tiếc nuối
Xenophobia	Sự ghét người ngoại quốc
Yield	Nhượng bộ
Zany	Kỳ cục
Zealot	Người nhiệt tình
Zenith	Đỉnh điểm
Zephyr	Gió nhẹ
