A	Một
Compare	So sánh
Competition	Cạnh tranh
Complete	Hoàn thành
Complex	Phức tạp
Computer	Máy tính
Concentrate	Tập trung
Concept	Khái niệm
Concern	Quan tâm
Conclusion	Kết luận
Condition	Điều kiện
Conduct	Hành vi
Conference	Hội nghị
Confidence	Sự tự tin
Confirm	Xác nhận
Conflict	Xung đột
Congress	Quốc hội
Connect	Kết nối
Connection	Kết nối
Conscious	Óc thức
Consider	Xem xét
Consist	Bao gồm
Constant	Liên tục
Construction	Xây dựng
Consult	Tư vấn
Consumer	Người tiêu dùng
Contact	Liên hệ
Content	Nội dung
Continue	Tiếp tục
Contract	Hợp đồng
Control	Kiểm soát
Conversation	Cuộc trò chuyện
Cook	Đầu bếp
Copy	Sao chép
Corporation	Tổ chức
Cost	Giá thành
Could	Có thể
Council	Hội đồng
Count	Đếm
Country	Đất nước
County	Quận
Couple	Cặp đôi
Course	Khóa học
Court	Tòa án
Cover	Bìa
Create	Tạo ra
Crime	Tội phạm
Cultural	Văn hóa
Culture	Văn hóa
Cup	Cốc
Current	Hiện tại
Customer	Khách hàng
Cut	Cắt
Dark	Tối
Data	Dữ liệu
Date	Ngày
Daughter	Con gái
Day	Ngày
Dead	Chết
Deal	Giao dịch
Death	Sự chết
Debate	Cuộc tranh luận
Debt	Nợ
Decision	Quyết định
Deep	Sâu
Defense	Phòng thủ
Degree	Bằng cấp
Democrat	Dân chủ
Department	Bộ phận
Depend	Phụ thuộc
Deposit	Tiền gửi
Describe	Mô tả
Design	Thiết kế
Desire	Khao khát
Detail	Chi tiết
Determine	Xác định
Develop	Phát triển
Development	Sự phát triển
Device	Thiết bị
Difference	Sự khác biệt
Different	Khác nhau
Difficulty	Khó khăn
Dinner	Bữa tối
Direction	Hướng
Directly	Trực tiếp
Director	Giám đốc
Dirt	Bùn
Dirty	Dơ bẩn
Disability	Khuyết tật
Discipline	Kỷ luật
Discover	Khám phá
Disease	Bệnh tật
Dish	Bát đĩa
Display	Hiển thị
Distance	Khoảng cách
Distinct	Riêng biệt
Distribute	Phân phối
District	Quận
Divorce	Ly hôn
Do	Làm
Doctor	Bác sĩ
Document	Tài liệu
Dog	Con chó
Door	Cửa
Double	Gấp đôi
Down	Xuống
Dream	Giấc mơ
Drive	Lái xe
Drop	Thả
Drug	Thuốc
During	Trong suốt
Each	Mỗi
Early	Sớm
Earn	Kiếm được
Earth	Trái đất
East	Phía Đông
Easy	Dễ dàng
Eat	Ăn
Economic	Kinh tế
Economy	Kinh tế
Education	Giáo dục
Effect	Hiệu ứng
Effort	Sự nỗ lực
Eight	Tám
Either	Cả hai
Election	Cuộc bầu cử
Electric	Điện
Elementary	Cơ bản
Else	Khác
Email	Thư điện tử
Employee	Nhân viên
Employer	Nhà tuyển dụng
Employment	Việc làm
Encourage	Khuyến khích
End	Kết thúc
Energy	Năng lượng
Engine	Động cơ
Engineer	Kỹ sư
England	Anh
Enjoy	Thưởng thức
Enough	Đủ
Enter	Nhập
Entire	Toàn bộ
Environment	Môi trường
Environmental	Môi trường
Equal	Bằng nhau
Equipment	Thiết bị
Error	Lỗi
Especially	Đặc biệt là
Establish	Thành lập
Estimate	Ước tính
Even	Ngay cả
Evening	Buổi tối
Event	Sự kiện
Ever	Từng
Every	Mọi
Everybody	Mọi người
Everyone	Mọi người
Everything	Mọi thứ
Evidence	Bằng chứng
Exactly	Chính xác
Example	Ví dụ
Exchange	Trao đổi
Executive	Quản lý cấp cao
Exercise	Tập thể dục
Exist	Tồn tại
Expect	Mong đợi
Experience	Kinh nghiệm
Expert	Chuyên gia
Explain	Giải thích
Express	Bày tỏ
Extend	Mở rộng
Extension	Tiện ích mở rộng
Extra	Thêm
Extreme	Cực kỳ
Eye	Mắt
Face	Khuôn mặt
Fact	Sự thật
Factor	Nhân tố
Fail	Thất bại
Fair	Công bằng
Fall	Rơi
Family	Gia đình
Famous	Nổi tiếng
Far	Xa
Farm	Nông trại
Fast	Nhanh
Father	Cha
Fear	Sợ hãi
Federal	Liên bang
Fee	Phí
Feel	Cảm thấy
Feeling	Cảm giác
Few	Một ít
Field	Lĩnh vực
Fight	Chiến đấu
Figure	Con số
Fill	Điền
Film	Phim
Final	Cuối cùng
Finally	Cuối cùng
Finance	Tài chính
Financial	Tài chính
Find	Tìm thấy
Fine	Tốt
Finger	Ngón tay
Finish	Kết thúc
Fire	Lửa
Firm	Công ty
First	Đầu tiên
Fish	Cá
Fit	Phù hợp
Five	Năm
Floor	Sàn nhà
Focus	Tập trung
Follow	Theo
Food	Thức ăn
Foot	Chân
For	Cho
Force	Lực lượng
Foreign	Nước ngoài
Forest	Rừng
Forget	Quên
Form	Biểu mẫu
Former	Cựu
Forward	Về phía trước
Foundation	Quỹ
Four	Bốn
Free	Miễn phí
Freedom	Tự do
Friend	Bạn bè
From	Từ
Front	Phía trước
Full	Đầy đủ
Function	Chức năng
Fund	Quỹ
Future	Tương lai
Game	Trò chơi
Garden	Vườn
Gas	Khí ga
General	Tổng quan
Generation	Thế hệ
Get	Nhận
Girl	Cô gái
Give	Cho
Glass	Cái cốc
Go	Đi
Goal	Mục tiêu
God	Chúa
Good	Tốt
Government	Chính phủ
Great	Tuyệt vời
Green	Xanh lá
Ground	Mặt đất
Group	Nhóm
Grow	Phát triển
Growth	Sự phát triển
Guess	Đoán
Gun	Súng
Guy	Chàng trai
Hair	Tóc
Half	Một nửa
Hand	Tay
Hang	Treo
Happen	Xảy ra
Happy	Hạnh phúc
Hard	Khó
Have	Có
He	Anh ấy
Head	Đầu
Health	Sức khỏe
Hear	Nghe
Heart	Trái tim
Heat	Nhiệt độ
Heavy	Nặng
Hell	Địa ngục
Hello	Xin chào
Help	Giúp đỡ
Here	Ở đây
High	Cao
Him	Anh ấy
Himself	Chính anh ấy
His	Của anh ấy
History	Lịch sử
Hit	Đánh
Hold	Giữ
Home	Nhà
Hope	Hi vọng
Horse	Con ngựa
Hospital	Bệnh viện
Hot	Nóng
Hotel	Khách sạn
Hour	Giờ
House	Nhà
How	Làm thế nào
However	Tuy nhiên
Human	Con người
Hundred	Trăm
Husband	Chồng
I	Tôi
Idea	Ý tưởng
Identify	Xác định
If	Nếu
Image	Hình ảnh
Imagine	Tưởng tượng
Impact	Tác động
Important	Quan trọng
Impress	Ấn tượng
Improvement	Sự cải thiện
In	Trong
Include	Bao gồm
Increase	Tăng
Indeed	Quả thực
Indicate	Chỉ ra
Individual	Cá nhân
Industry	Ngành công nghiệp
Information	Thông tin
Inside	Bên trong
Instead	Thay vào đó
Institution	Cơ sở
Insurance	Bảo hiểm
Interest	Sự quan tâm
Interesting	Thú vị
International	Quốc tế
Internet	Internet
Interview	Cuộc phỏng vấn
Into	Vào
Investment	Đầu tư
Involve	Liên quan
Issue	Vấn đề
It	Nó
Item	Mục
Its	Của nó
Itself	Chính nó
Job	Công việc
Join	Tham gia
Judge	Thẩm phán
Judgment	Phán đoán
Just	Chỉ
Keep	Giữ
Key	Khóa
Kid	Đứa trẻ
Kill	Giết
Kind	Loại
King	Vua
Kitchen	Bếp
Know	Biết
Knowledge	Kiến thức
Land	Đất đai
Language	Ngôn ngữ
Large	Lớn
Last	Cuối cùng
Late	Trễ
Later	Sau này
Laugh	Cười
Law	Luật
Lawyer	Luật sư
Lay	Đặt
Lead	Dẫn đầu
Leader	Lãnh đạo
Learn	Học
Least	Ít nhất
Leave	Rời đi
Left	Bên trái
Leg	Chân
Legal	Pháp lý
Less	Ít hơn
Let	Để
Letter	Thư
Level	Mức độ
Library	Thư viện
Lie	Nói dối
Life	Cuộc sống
Light	Ánh sáng
Like	Như
Likely	Có khả năng
Line	Dòng
List	Danh sách
Listen	Nghe
Little	Nhỏ
Live	Sống
Local	Địa phương
Location	Vị trí
Long	Dài
Look	Nhìn
Loss	Mất mát
Love	Tình yêu
Low	Thấp
Machine	Máy móc
Magazine	Tạp chí
Main	Chính
Major	Chính trị
Make	Làm
Man	Người đàn ông
Manage	Quản lý
Management	Quản lý
Manager	Người quản lý
Many	Nhiều
Market	Thị trường
Marriage	Hôn nhân
Material	Vật liệu
Matter	Vấn đề
May	Có thể
Maybe	Có thể
Me	Tôi
Mean	Có nghĩa
Measure	Đo lường
Media	Phương tiện truyền thông
Medical	Y tế
Meet	Gặp gỡ
Meeting	Cuộc họp
Member	Thành viên
Membership	Thẻ hội viên
Memory	Bộ nhớ
Mention	Đề cập
Message	Tin nhắn
Method	Phương pháp
Middle	Trung tâm
Might	Có thể
Military	Quân đội
Mind	Tâm hồn
Minute	Phút
Miss	Lỡ
Mission	Nhiệm vụ
Model	Mẫu
Modern	Hiện đại
Moment	Lúc
Money	Tiền
Month	Tháng
More	Hơn
Morning	Buổi sáng
Most	Hầu hết
Mother	Mẹ
Mouth	Miệng
Move	Di chuyển
Movie	Phim
Mr.	Ông
Mrs.	Bà
Much	Nhiều
Music	Âm nhạc
Must	Phải
My	Của tôi
Myself	Chính tôi
Name	Tên
Nation	Quốc gia
National	Quốc gia
Natural	Tự nhiên
Nature	Tự nhiên
Near	Gần
Nearly	Gần như
Necessary	Cần thiết
Need	Cần
Network	Mạng
Never	Không bao giờ
New	Mới
News	Tin tức
Newspaper	Báo
Next	Tiếp theo
Nice	Đẹp
Night	Buổi tối
No	Không
Nobody	Không ai
None	Không ai
Nor	Cũng không
North	Phía bắc
Not	Không
Note	Ghi chú
Nothing	Không có gì
Notice	Lưu ý
Now	Bây giờ
Number	Số
Obviously	Rõ ràng
Of	Của
Off	Tắt
Offer	Đề nghị
Office	Văn phòng
Officer	Sĩ quan
Official	Chính thức
Often	Thường xuyên
Oil	Dầu
Ok	Được
Old	Cũ
On	Trên
Once	Một lần
One	Một
Only	Chỉ
On	Trên
Open	Mở
Operation	Hoạt động
Opportunity	Cơ hội
Or	Hoặc
Order	Đặt hàng
Organization	Tổ chức
Other	Khác
Our	Của chúng tôi
Ourselves	Chúng tôi
Out	Ra ngoài
Outside	Bên ngoài
Over	Trên
Own	Sở hữu
Owner	Chủ sở hữu
Page	Trang
Pain	Đau
Painting	Bức tranh
Paper	Giấy
Parent	Người cha mẹ
Part	Phần
Participant	Người tham gia
Particular	Cụ thể
Partner	Đối tác
Party	Bữa tiệc
Pass	Vượt qua
Past	Quá khứ
Patient	Bệnh nhân
Pattern	Mẫu
Pay	Trả tiền
Peace	Hòa bình
People	Con người
Per	Mỗi
Perform	Thực hiện
Performance	Hiệu suất
Perhaps	Có lẽ
Person	Người
Personal	Cá nhân
Phone	Điện thoại
Photo	Ảnh
Physical	Vật lý
Picture	Hình ảnh
Piece	Mảnh
Place	Nơi
Plan	Kế hoạch
Plant	Cây cối
Play	Chơi
Player	Người chơi
Please	Xin vui lòng
Plenty	Đầy đủ
Police	Cảnh sát
Policy	Chính sách
Political	Chính trị
Politics	Chính trị
Poor	Nghèo
Popular	Phổ biến
Population	Dân số
Position	Vị trí
Positive	Tích cực
Possible	Có thể
Power	Sức mạnh
Powerful	Mạnh mẽ
Practice	Thực hành
Prepare	Chuẩn bị
Present	Hiện tại
President	Tổng thống
Press	Bấm
Pressure	Áp lực
Pretty	Xinh đẹp
Price	Giá cả
Pride	Kiêu hãnh
Primary	Chính
Prime	Chất lượng cao
Principal	Hiệu trưởng
Principle	Nguyên tắc
Print	In
Prison	Nhà tù
Private	Tư nhân
Probably	Có lẽ
Problem	Vấn đề
Process	Quy trình
Produce	Sản xuất
Product	Sản phẩm
Production	Sản xuất
Professional	Chuyên nghiệp
Professor	Giáo sư
Program	Chương trình
Project	Dự án
Property	Tài sản
Protection	Bảo vệ
Provide	Cung cấp
Public	Công cộng
Pull	Kéo
Purpose	Mục đích
Push	Đẩy
Put	Đặt
Quality	Chất lượng
Question	Câu hỏi
Quickly	Nhanh chóng
Quite	Tương đối
Race	Cuộc đua
Radio	Đài phát thanh
Raise	Nâng cao
Range	Phạm vi
Rate	Tỷ lệ
Rather	Hơn là
Reach	Đạt được
Read	Đọc
Ready	Sẵn sàng
Real	Thực sự
Reality	Hiện thực
Realize	Nhận ra
Really	Thực sự
Reason	Lý do
Receive	Nhận
Recent	Gần đây
Recently	Gần đây
Recognition	Sự công nhận
Recognize	Nhận biết
Record	Ghi âm
Red	Đỏ
Reduce	Giảm
Reflect	Phản chiếu
Region	Khu vực
Regular	Thường xuyên
Relationship	Mối quan hệ
Religious	Tôn giáo
Remain	Ở lại
Remember	Nhớ
Remove	Loại bỏ
Report	Báo cáo
Representative	Đại diện
Reputation	Danh tiếng
Request	Yêu cầu
Require	Yêu cầu
Research	Nghiên cứu
Resource	Tài nguyên
Respect	Tôn trọng
Respond	Đáp ứng
Response	Phản hồi
Responsibility	Trách nhiệm
Responsible	Chịu trách nhiệm
Rest	Nghỉ
Result	Kết quả
Return	Trả lại
Reveal	Tiết lộ
Rich	Giàu
Ride	Lái
Right	Đúng
Rise	Tăng lên
Risk	Rủi ro
Road	Đường
Rock	Đá
Role	Vai trò
Room	Phòng
Rule	Quy tắc
Run	Chạy
Safe	An toàn
Same	Giống
Save	Tiết kiệm
Say	Nói
Scene	Cảnh
School	Trường học
Science	Khoa học
Scientist	Nhà khoa học
Score	Điểm số
Sea	Biển
Season	Mùa
Seat	Ghế
Second	Thứ hai
Section	Phần
Security	An ninh
See	Xem
Seek	Tìm kiếm
Seem	Dường như
Sell	Bán
Send	Gửi
Senior	Cao cấp
Sense	Ý nghĩa
Series	Loạt
Serious	Nghiêm trọng
Serve	Phục vụ
Service	Dịch vụ
Set	Đặt
Seven	Bảy
Several	Một số
Sex	Giới tính
Sexual	Tính dục
Shake	Rung
Share	Chia sẻ
She	Cô ấy
Shoot	Bắn
Short	Ngắn
Should	Nên
Shoulder	Vai
Show	Trình bày
Side	Bên cạnh
Sign	Ký hiệu
Significant	Quan trọng
Similar	Tương tự
Simple	Đơn giản
Simply	Đơn giản
Since	Kể từ
Sing	Hát
Single	Độc thân
Sister	Chị em
Site	Trang web
Situation	Tình huống
Six	Sáu
Size	Kích thước
Skill	Kỹ năng
Skin	Da
Small	Nhỏ
Smile	Nụ cười
So	Vậy
Social	Xã hội
Society	Xã hội
Soldier	Chiến binh
Some	Một số
Someone	Ai đó
Something	Điều gì đó
Sometimes	Đôi khi
Son	Con trai
Song	Bài hát
Soon	Sớm
Sorry	Xin lỗi
Sound	Âm thanh
Source	Nguồn
South	Phía nam
Space	Không gian
Speak	Nói
Special	Đặc biệt
Specific	Cụ thể
Speech	Bài phát biểu
Speed	Tốc độ
Spend	Tiêu
Sport	Thể thao
Spring	Mùa xuân
Staff	Nhân viên
Stage	Sân khấu
Stand	Đứng
Standard	Tiêu chuẩn
Star	Ngôi sao
Start	Bắt đầu
State	Tiểu bang
Statement	Tuyên bố
Station	Trạm
Stay	Ở lại
Step	Bước
Still	Vẫn còn
Stock	Hàng tồn kho
Stop	Dừng
Store	Cửa hàng
Story	Câu chuyện
Strategy	Chiến lược
Street	Đường phố
Strong	Mạnh mẽ
Structure	Cấu trúc
Student	Sinh viên
Study	Học tập
Stuff	Đồ đạc
Style	Phong cách
Subject	Chủ đề
Success	Thành công
Successful	Thành công
Such	Như vậy
Suddenly	Đột ngột
Suggest	Đề xuất
Summer	Mùa hè
Support	Hỗ trợ
Sure	Chắc chắn
Surface	Bề mặt
Surprise	Sự ngạc nhiên
System	Hệ thống
Table	Bàn
Take	Lấy
Talk	Nói chuyện
Task	Nhiệm vụ
Tax	Thuế
Teach	Dạy
Teacher	Giáo viên
Team	Nhóm
Technology	Công nghệ
Television	Truyền hình
Tell	Nói
Ten	Mười
Term	Thuật ngữ
Test	Kiểm tra
Than	Hơn
Thank	Cảm ơn
That	Rằng
The	Cái
Their	Của họ
Them	Họ
Themselves	Họ
Then	Sau đó
Theory	Lý thuyết
There	Có
These	Những
They	Họ
Thing	Điều
Think	Nghĩ
Third	Thứ ba
This	Này
Those	Những người
Though	Mặc dù
Thought	Suy nghĩ
Thousand	Nghìn
Threat	Đe dọa
Three	Ba
Through	Qua
Time	Thời gian
To	Đến
Today	Hôm nay
Together	Cùng nhau
Tomorrow	Ngày mai
Too	Quá
Top	Đỉnh
Total	Tổng cộng
Touch	Chạm
Toward	Hướng tới
Town	Thị trấn
Trade	Thương mại
Tradition	Truyền thống
Traditional	Truyền thống
Traffic	Giao thông
Train	Tàu hỏa
Training	Đào tạo
Travel	Du lịch
Treat	Đối xử
Treatment	Điều trị
Tree	Cây
Trial	Phiên tòa
Trip	Chuyến đi
Trouble	Rắc rối
True	Đúng
Truth	Sự thật
Try	Thử
Turn	Lật
TV	Truyền hình
Two	Hai
Type	Loại
Understand	Hiểu
Unit	Đơn vị
Until	Cho đến khi
Up	Lên
Upon	Trên
Us	Chúng tôi
Use	Sử dụng
Usually	Thường
Value	Giá trị
Various	Đa dạng
Very	Rất
View	Quan điểm
Visit	Thăm
Voice	Tiếng nói
Wait	Chờ đợi
Walk	Đi bộ
Wall	Tường
Want	Muốn
War	Chiến tranh
Warm	Ấm áp
Watch	Xem
Water	Nước
Way	Cách
We	Chúng tôi
Wealth	Sự giàu có
Weapon	Vũ khí
Wear	Mặc
Weather	Thời tiết
Week	Tuần
Weekend	Cuối tuần
Weigh	Cân
Welcome	Chào mừng
Well	Tốt
West	Phía tây
What	Gì
Whatever	Bất kể gì
When	Khi nào
Where	Ở đâu
Whether	Liệu
Which	Mà
While	Trong khi
White	Trắng
Who	Ai
Whole	Toàn bộ
Whom	Ai
Whose	Của ai
Why	Tại sao
Wide	Rộng
Wife	Vợ
Will	Sẽ
Win	Thắng
Wind	Gió
Window	Cửa sổ
Wish	Ước muốn
With	Với
Within	Bên trong
Without	Không có
Woman	Phụ nữ
Wonder	Tự hỏi
Word	Từ
Work	Công việc
Worker	Người lao động
World	Thế giới
Worry	Lo lắng
Would	Sẽ
Write	Viết
Writer	Nhà văn
Wrong	Sai
Yard	Sân
Yeah	Vâng
Year	Năm
Yes	Có
Yesterday	Hôm qua
Yet	Tuy nhiên
You	Bạn
Young	Trẻ
Your	Của bạn
Yourself	Chính bạn
Youth	Tuổi trẻ
Youth	Tuổi trẻ
Zeal	Nhiệt huyết
Zero	Số không
Zone	Khu vực
Zoom	Phóng to
